4.50 -2794.337042517
4.75 -2794.339344993
5.00 -2794.340825538
5.25 -2794.341768780
5.50 -2794.342369792
5.75 -2794.342749826
6.00 -2794.342991557
6.25 -2794.343150285
6.50 -2794.343251599
6.75 -2794.343321601
7.00 -2794.343375243
7.25 -2794.343414442
7.50 -2794.343445155
7.75 -2794.343473721
8.00 -2794.343496755
8.25 -2794.343514875
8.50 -2794.343530964
8.75 -2794.343548849
9.00 -2794.343565696
9.25 -2794.343581306
9.50 -2794.343594641
9.75 -2794.343604991
10.00 -2794.343612610
10.25 -2794.343616263
10.50 -2794.343617283
10.75 -2794.343617599
11.00 -2794.343618037
11.25 -2794.343619143
11.50 -2794.343621384
11.75 -2794.343623904
12.00 -2794.343626313
12.25 -2794.343628369
12.50 -2794.343629912
12.75 -2794.343630798
13.00 -2794.343630966
13.25 -2794.343630644
13.50 -2794.343630063
13.75 -2794.343629449
14.00 -2794.343628965
14.25 -2794.343628595
14.50 -2794.343628392
14.75 -2794.343628366
15.00 -2794.343628490
