2.25 -600.6640388018
2.50 -600.6965588095
2.75 -600.6987345759
3.00 -600.6876779558
3.25 -600.6726102486
3.50 -600.6586266587
3.75 -600.6506167643
4.00 -600.6531825292
4.25 -600.6578737604
4.50 -600.6615188392
4.75 -600.6635556669
5.00 -600.6647809129
5.25 -600.6653864984
5.50 -600.6654521376
5.75 -600.6655122663
6.00 -600.6653243071
6.25 -600.6651054707
6.50 -600.6650191971
6.75 -600.6649238188
7.00 -600.6646938383
7.25 -600.6644763134
7.50 -600.6643601063
7.75 -600.6642702338
8.00 -600.6641696435
