4.50 -2793.0750091143
4.75 -2793.0768667924
5.00 -2793.0779444806
5.25 -2793.0785358996
5.50 -2793.0788322506
5.75 -2793.0789560671
6.00 -2793.0789842635
6.25 -2793.0789633270
6.50 -2793.0789197786
6.75 -2793.0788678943
7.00 -2793.0788149487
7.25 -2793.0787644903
7.50 -2793.0787181248
7.75 -2793.0786764369
8.00 -2793.0786394995
8.25 -2793.0786071304
8.50 -2793.0785790302
8.75 -2793.0785548181
9.00 -2793.0785341428
9.25 -2793.0785165997
9.50 -2793.0785017387
9.75 -2793.0784892089
10.00 -2793.0784786672
10.25 -2793.0784697839
10.50 -2793.0784623391
10.75 -2793.0784560777
11.00 -2793.0784507994
11.25 -2793.0784463371
11.50 -2793.0784425527
11.75 -2793.0784393297
12.00 -2793.0784365745
12.25 -2793.0784342087
12.50 -2793.0784321708
12.75 -2793.0784304100
13.00 -2793.0784288831
13.25 -2793.0784275545
13.50 -2793.0784263960
13.75 -2793.0784253817
14.00 -2793.0784244927
14.25 -2793.0784237102
14.50 -2793.0784230186
14.75 -2793.0784224313
15.00 -2793.0784218860
