1 35 1   1.0  19.0 
   4.00000000 -99.64349138 
   3.89705882 -99.64654651 
   3.79411765 -99.64986678 
   3.69117647 -99.65348157 
   3.58823529 -99.65742370 
   3.48529412 -99.66172991 
   3.38235294 -99.66644138 
   3.27941176 -99.67160428 
   3.17647059 -99.67727021 
   3.07352941 -99.68349662 
   2.97058824 -99.69034713 
   2.86764706 -99.69789185 
   2.76470588 -99.70620776 
   2.66176471 -99.71537941 
   2.55882353 -99.72549979 
   2.45588235 -99.73667164 
   2.35294118 -99.74900863 
   2.25000000 -99.76263632 
   2.14705882 -99.77769227 
   2.04411765 -99.79432468 
   1.94117647 -99.81268863 
   1.83823529 -99.83293842 
   1.73529412 -99.85521345 
   1.63235294 -99.87961408 
   1.52941176 -99.90616227 
   1.42647059 -99.93473445 
   1.32352941 -99.96493570 
   1.22058824 -99.99585912 
   1.11764706 -100.02563715 
   1.01470588 -100.05058767 
   0.91176471 -100.06350113 
   0.80882353 -100.05020209 
   0.70588235 -99.98285483 
   0.60294118 -99.80411845 
   0.50000000 -99.38629543 
