2.25 -600.5574923007
2.50 -600.5919602324
2.75 -600.5954740876
3.00 -600.5861908309
3.25 -600.5731491421
3.50 -600.5610407581
3.75 -600.5526897389
4.00 -600.5500732721
4.25 -600.5504428040
4.50 -600.5509260854
4.75 -600.5504130810
5.00 -600.5493533833
5.25 -600.5478264757
5.50 -600.5459450067
5.75 -600.5441771084
6.00 -600.5422822932
6.25 -600.5403495202
6.50 -600.5387157206
6.75 -600.5370977648
7.00 -600.5354508426
7.25 -600.5339442481
7.50 -600.5326083988
7.75 -600.5312789287
8.00 -600.5299501551
