4.50 -568.0547801972
4.75 -568.0560689245
5.00 -568.0568308933
5.25 -568.0572575604
5.50 -568.0574754404
5.75 -568.0575749353
6.00 -568.0576065949
6.25 -568.0575911468
6.50 -568.0575580441
6.75 -568.0575311506
7.00 -568.0575029990
7.25 -568.0574708892
7.50 -568.0574427252
7.75 -568.0574208222
8.00 -568.0574017090
8.25 -568.0573874875
8.50 -568.0573822909
8.75 -568.0573850642
9.00 -568.0573890421
9.25 -568.0573882912
9.50 -568.0573832369
9.75 -568.0573760957
10.00 -568.0573683375
10.25 -568.0573615326
10.50 -568.0573546335
10.75 -568.0573478147
11.00 -568.0573416344
11.25 -568.0573364280
11.50 -568.0573324602
11.75 -568.0573296821
12.00 -568.0573280593
12.25 -568.0573273655
12.50 -568.0573270341
12.75 -568.0573269649
13.00 -568.0573270670
13.25 -568.0573272352
13.50 -568.0573273889
13.75 -568.0573274852
14.00 -568.0573275187
14.25 -568.0573275104
14.50 -568.0573274764
14.75 -568.0573274169
15.00 -568.0573273673
