4.50 -2794.341541583
4.75 -2794.343641023
5.00 -2794.344925519
5.25 -2794.345681559
5.50 -2794.346106628
5.75 -2794.346321039
6.00 -2794.346409163
6.25 -2794.346427243
6.50 -2794.346401689
6.75 -2794.346359087
7.00 -2794.346314269
7.25 -2794.346268595
7.50 -2794.346226999
7.75 -2794.346194509
8.00 -2794.346166312
8.25 -2794.346140605
8.50 -2794.346120995
8.75 -2794.346109114
9.00 -2794.346101122
9.25 -2794.346095974
9.50 -2794.346091922
9.75 -2794.346087669
10.00 -2794.346082987
10.25 -2794.346076247
10.50 -2794.346068456
10.75 -2794.346061278
11.00 -2794.346055322
11.25 -2794.346050954
11.50 -2794.346048493
11.75 -2794.346046963
12.00 -2794.346045872
12.25 -2794.346044895
12.50 -2794.346043802
12.75 -2794.346042390
13.00 -2794.346040550
13.25 -2794.346038468
13.50 -2794.346036341
13.75 -2794.346034367
14.00 -2794.346032681
14.25 -2794.346031248
14.50 -2794.346030103
14.75 -2794.346029240
15.00 -2794.346028618
